Local,Visitante,Goles Local,goles Visitantes
Patriotas,Boyacá Chicó,3,0
América de Cali,Deportivo Cali,0,1
Millonarios,Deportivo Pasto,1,0
Atlético Bucaramanga,Independiente Medellín,2,3
Atlético Nacional,Santa Fe,1,1
Fortaleza CEIF,La Equidad,2,1
Boyacá Chicó,Atlético Bucaramanga,1,1
Alianza F. C.,Águilas Doradas,3,0
Deportes Tolima,Envigado F. C.,3,0
Deportivo Cali,Jaguares,1,2
Independiente Medellín,Patriotas,3,0
Junior,Millonarios,0,0
Deportivo Pasto,América de Cali,3,1
Deportivo Pereira,Atlético Nacional,1,1
Santa Fe,Once Caldas,2,1
Atlético Bucaramanga,Fortaleza CEIF,1,0
Patriotas,Deportes Tolima,2,1
Envigado F. C.,Deportivo Cali,1,0
Jaguares,Alianza F. C.,0,0
Águilas Doradas,Boyacá Chicó,0,1
Millonarios,Deportivo Pereira,0,0
La Equidad,Deportivo Pasto,2,2
Atlético Nacional,Independiente Medellín,1,1
Once Caldas,Junior,0,0
América de Cali,Santa Fe,0,0
Junior,Deportivo Cali,3,0
América de Cali,Once Caldas,3,0
Alianza F. C.,Atlético Bucaramanga,0,4
Santa Fe,Jaguares,3,0
Fortaleza CEIF,Águilas Doradas,0,1
Boyacá Chicó,Millonarios,1,5
Deportivo Pasto,Patriotas,3,2
Deportivo Pereira,La Equidad,4,3
Deportes Tolima,Atlético Nacional,1,0
Independiente Medellín,Envigado F. C.,1,0
